post_id,title,category,score,num_comments,author,collected_at
47665685,Show HN: TTF-DOOM – A raycaster running inside TrueType font hinting,entertainment,65,12,4RH1T3CT0R,2026-04-08 14:43:42.282509
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,305,189,keepamovin,2026-04-08 14:43:42.282509
47660853,Book review: There Is No Antimemetics Division,entertainment,278,223,ibobev,2026-04-08 14:43:42.282509
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,55,0,tosh,2026-04-08 14:43:42.282509
47674662,Show HN: A social feed with no algo where communities decide what gets seen,entertainment,9,5,smnkgv,2026-04-08 14:43:42.282509
47650502,Computational Physics (2nd Edition) (2025),science,183,22,teleforce,2026-04-08 14:43:42.282509
47675709,Show HN: The King James Bible deserved a better website,entertainment,9,3,L23234,2026-04-08 14:43:42.282509
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,318,201,nevernothing,2026-04-08 14:43:42.282509
47638498,Show HN: AdaShape-3D modeler for intuitive 3D printing parts / Windows 11,entertainment,31,30,fsloth,2026-04-08 14:43:42.282509
47677556,Show HN: A (marginally) useful x86-64 ELF executable in 298 bytes,entertainment,12,0,meribold,2026-04-08 14:43:42.282509
47637377,LÖVE: 2D Game Framework for Lua,sports,413,215,cl3misch,2026-04-08 14:43:42.282509
47681453,"Sports bets on prediction markets ruled to be ""swaps,"" exempt from state laws",sports,18,6,nradov,2026-04-08 14:43:42.282509
47662429,Show HN: Weird Clocks,entertainment,50,16,vunderba,2026-04-08 14:43:42.282509
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",entertainment,98,28,mohshomis,2026-04-08 14:43:42.282509
47679573,Apple Is Reportedly Facing a 'Massive Dilemma' with the MacBook Neo,entertainment,25,22,thm,2026-04-08 14:43:42.282509
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,970,616,zaikunzhang,2026-04-08 14:43:42.282509
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,116,65,salt4034,2026-04-08 14:43:42.282509
47652322,Music for Programming,entertainment,348,173,merusame,2026-04-08 14:43:42.282509
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,174,31,laszlokorte,2026-04-08 14:43:42.282509
47680611,"Iranian hackers launching disruptive attacks at U.S. energy, water targets [pdf]",worldnews,31,6,lschueller,2026-04-08 14:43:42.282509
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,83,9,lexalizer,2026-04-08 14:43:42.282509
47685951,How Trump Took the U.S. to War with Iran,worldnews,5,1,u1hcw9nx,2026-04-08 14:43:42.282509
47675835,Wireless Festival cancelled after government stops Kanye West entering UK,worldnews,12,1,manarth,2026-04-08 14:43:42.282509
47648404,My Google Workspace account suspension,science,369,218,zenincognito,2026-04-08 14:43:42.282509
47681094,"Al-Khwarizmi (""Algorithm"")",worldnews,8,1,profsummergig,2026-04-08 14:43:42.282509
47629485,A case study in testing with 100+ Claude agents in parallel,science,66,54,thejash,2026-04-08 14:43:42.282509
47667008,Show HN: I built a site that turns your Steam gaming hours into a RL skill tree,sports,7,4,naorz,2026-04-08 14:43:42.282509
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,221,146,pseudolus,2026-04-08 14:43:42.282509
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,61,angst,2026-04-08 14:43:42.282509
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,24,4,andsoitis,2026-04-08 14:43:42.282509
47669649,Global Fuel Shortage Pushes Governments Toward Demand Controls,worldnews,15,14,toomuchtodo,2026-04-08 14:43:42.282509
47673182,Health benefits of Paris climate goals could save lives by 2040,worldnews,7,0,lentoutcry,2026-04-08 14:43:42.282509
47641615,Sopwith – 1984 Game (2000),sports,99,42,elvis70,2026-04-08 14:43:42.282509
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,76,42,1659447091,2026-04-08 14:43:42.282509
47653036,Satellite firm Planet Labs to indefinitely withold Iran war imagery,worldnews,42,12,anigbrowl,2026-04-08 14:43:42.282509
47664308,JPMorgan warns Tesla stock could sink 60% in new note,worldnews,61,18,freediddy,2026-04-08 14:43:42.282509
47680527,Russia's Fancy Bear still attacking routers to boost fake sites,worldnews,7,0,lschueller,2026-04-08 14:43:42.282509
